,Date,Checking,Loan A: Principal Balance,Loan A: Interest,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo Directives,Memo
0,20240101,5000.0,3500.0,100.0,0.0,0,0,1400.0,3600.0,0.0,5000.0,,
1,20240102,5000.0,3500.0,103.83,3.83,0,0,1396.17,3603.83,0.0,5000.0,,
2,20240103,2950.0,1557.66,0.0,3.83,0,0,1392.34,1557.66,0.0,2950.0, LOAN MIN PAYMENT (Loan A: Interest -$50.0);  LOAN MIN PAYMENT (Checking -$50.0);  ADDTL LOAN PAYMENT (Checking -$1942.34);  ADDTL LOAN PAYMENT (Loan A: Principal Balance -$1942.34);  ADDTL LOAN PAYMENT (Checking -$57.66);  ADDTL LOAN PAYMENT (Loan A: Interest -$57.66); ,
3,20240104,2950.0,1557.66,1.71,1.71,0,0,1390.6299999999999,1559.3700000000001,0.0,2950.0,,
4,20240105,2950.0,1557.66,3.41,1.7,0,0,1388.9299999999998,1561.0700000000002,0.0,2950.0,,
5,20240106,2950.0,1557.66,5.12,1.71,0,0,1387.22,1562.78,0.0,2950.0,,
6,20240107,2950.0,1557.66,6.82,1.7,0,0,1385.52,1564.48,0.0,2950.0,,
7,20240108,2950.0,1557.66,8.53,1.71,0,0,1383.81,1566.19,0.0,2950.0,,
8,20240109,2950.0,1557.66,10.24,1.71,0,0,1382.1,1567.9,0.0,2950.0,,
9,20240110,2950.0,1557.66,11.94,1.7,0,0,1380.3999999999999,1569.6000000000001,0.0,2950.0,,
10,20240111,2950.0,1557.66,13.65,1.71,0,0,1378.6899999999998,1571.3100000000002,0.0,2950.0,,
11,20240112,2950.0,1557.66,15.35,1.7,0,0,1376.99,1573.01,0.0,2950.0,,
12,20240113,2950.0,1557.66,17.06,1.71,0,0,1375.28,1574.72,0.0,2950.0,,
13,20240114,2950.0,1557.66,18.76,1.7,0,0,1373.58,1576.42,0.0,2950.0,,
14,20240115,4450.0,1557.66,20.47,1.71,1500,0,2871.8700000000003,1578.13,0.0,4450.0,,income (Checking +$1500.0); 
15,20240116,4450.0,1557.66,22.18,1.71,0,0,2870.1600000000003,1579.8400000000001,0.0,4450.0,,
16,20240117,2868.46,0.0,0.0,1.7,0,0,2868.46,0.0,0.0,2868.46, ADDTL LOAN PAYMENT (Checking -$1557.66);  ADDTL LOAN PAYMENT (Loan A: Principal Balance -$1557.66);  ADDTL LOAN PAYMENT (Checking -$23.88);  ADDTL LOAN PAYMENT (Loan A: Interest -$23.88); ,
17,20240118,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
18,20240119,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
19,20240120,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
20,20240121,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
21,20240122,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
22,20240123,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
23,20240124,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
24,20240125,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
25,20240126,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
26,20240127,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
27,20240128,2868.46,0.0,0.0,0.0,0,0,2868.46,0.0,0.0,2868.46,,
28,20240129,4368.46,0.0,0.0,0.0,1500,0,4368.46,0.0,0.0,4368.46,,income (Checking +$1500.0); 
29,20240130,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,,
30,20240131,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,,
31,20240201,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,,
32,20240202,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,,
33,20240203,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,  LOAN MIN PAYMENT (Checking -$50.0),
34,20240204,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,,
35,20240205,4368.46,0.0,0.0,0.0,0,0,4368.46,0.0,0.0,4368.46,,
